Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,2023,2022.0,,,,,,,,,,,
,ICP,105,39.0,,,,,,,,,,,
,PVD,73,21.0,,,,,,,,,,,
,Trim01,73,20.0,,,,,,,,,,,
,ATHK,62,3.0,,,,,,,,,,,
,Echo,54,0.0,,,,,,,,,,,
,EGUN,51,15.0,,,,,,,,,,,
,CVD,48,18.0,,,,,,,,,,,
,Scrubber,30,9.0,,,,,,,,,,,
,AACW,29,7.0,,,,,,,,,,,
,Release,24,16.0,,,,,,,,,,,
,AFM,24,2.0,,,,,,,,,,,
,APRF,21,1.0,,,,,,,,,,,
,ASSW,16,7.0,,,,,,,,,,,
,Asher,12,9.0,,,,,,,,,,,
,Lift-off,10,9.0,,,,,,,,,,,
,打标机,8,2.0,,,,,,,,,,,
,Particle,6,2.0,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,异常,数量,,,,,,,,,,,,
,2022,177,,,,,,,,,,,,
,2023,708,,,,,,,,,,,,
,2024,37,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,AFM,1,,,,,,,,,,,,
,Trim01,1,,,,,,,,,,,,
,Lift-off,2,,,,,,,,,,,,
,ASHer,2,,,,,,,,,,,,
,PVD,4,,,,,,,,,,,,
,CVD,4,,,,,,,,,,,,
,ACW,4,,,,,,,,,,,,
,Trim02,5,,,,,,,,,,,,
,ICP,8,,,,,,,,,,,2023,2024
,THK,8,,,,,,,,,,月份,异常次数,异常次数
,,,,,,,,,,,,1月份,2,45
,设备PM,5,,,,,,,,,,2月份,9,
,Parts不良,11,,,,,,,,,,3月份,30,
,设备装置异常,10,,,,,,,,,,4月份,21,
,耗材消耗,3,,,,,,,,,,5月份,22,
,工艺条件异常,3,,,,,,,,,,6月份,85,
,未知异常,3,,,,,,,,,,7月份,91,
,软件异常,3,,,,,,,,,,8月份,100,
,腔室环境异常,2,,,,,,,,,,9月份,69,
,操作不当,2,,,,,,,,,,10月份,66,
,厂务异常,1,,,,,,,,,,11月份,105,
,其它,1,,,,,,,,,,12月份,108,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,W1,13,,,,,,,,,,,,
,W2,39,,,,,,,,,,,,
,W3,,,,,,,,,,,,,
,W4,,,,,,,,,,,,,
,W5,,,,,,,,,,,,,
,W6,,,,,,,,,,,,,
,W7,,,,,,,,,,,,,
,W8,,,,,,,,,,,,,
,W9,,,,,,,,,,,,,
,W10,,,,,,,,,,,,,
,W11,,,,,,,,,,,,,
,W12,,,,,,,,,,,,,
,W13,,,,,,,,,,,,,
,W14,,,,,,,,,,,,,
,W15,,,,,,,,,,,,,
,W16,,,,,,,,,,,,,
,W17,,,,,,,,,,,,,
,W18,,,,,,,,,,,,,
,W19,,,,,,,,,,,,,
,W20,,,,,,,,,,,,,
,W21,,,,,,,,,,,,,
,W22,,,,,,,,,,,,,
,W23,,,,,,,,,,,,,
,W24,,,,,,,,,,,,,
,W25,,,,,,,,,,,,,
,W26,,,,,,,,,,,,,
,W27,,,,,,,,,,,,,
,W28,,,,,,,,,,,,,
,W29,,,,,,,,,,,,,
,W30,,,,,,,,,,,,,
,W31,,,,,,,,,,,,,
