Tool,average,,,,
ACVD01,99.02727272727272,,,,
ALIF01,98.85454545454546,,,,
ACVD01-B,98.50909090909092,,,,
AICP01,98.34545454545454,,,,
APVD01,97.52727272727272,,,,
ATRM02,97.45454545454545,,,,
AREL01,97.2090909090909,,,,
AICP01-D,96.56363636363635,,,,
AICP01-C,96.39090909090909,,,,
AICP01-A,95.43636363636364,,,,
ATRM01,94.36363636363636,,,,
AASH01,93.85454545454544,,,,
AACW01,93.78181818181817,,,,
APVD01-B,93.77272727272727,,,,
APVD01-A,93.63636363636364,,,,
ASSW01,93.17272727272729,,,,
ACVD01-C,90.53636363636363,,,,
APVD01-D,89.9,,,,
APVD01-C,85.77272727272727,,,,
AEGN01,85.07272727272726,,,,
ATRM02-B,84.7909090909091,,,,
ATRM02-A,83.65454545454544,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Tool,AEGN01,APVD01-C,APVD01-D,ATRM02-A,ATRM02-B
2024/01,98.1,81.4,95,94.5,80.8
2024/02,65.3,95.1,99.2,98.4,25.5
2024/03,90.7,80,100,70.3,100
2024/04,89.5,90.3,89.5,98.8,100
2024/05,85.6,83.1,83.8,76.7,95.2
2024/06,76.9,92.3,92.8,90.2,89.5
2024/07,87.1,87.1,90.7,91.8,95.6
2024/08,90.6,72.3,83.4,97.4,92
2024/09,79.5,92,98.2,97,91.1
2024/10,86.4,89.5,82.1,62.2,84.3
2024/11,86.1,80.4,74.2,42.9,78.7
